Pest,Year,Mean,SD,Min,Max,Median,CV%,Total
Maruca,2020,5.73,6.66,0,19,2.0,116.4,63
Maruca,2021,6.82,5.88,0,18,6.0,86.2,75
Maruca,2022,5.45,3.53,0,13,5.0,64.7,60
Maruca,2023,7.0,5.2,0,17,5.0,74.2,77
Maruca,2024,11.36,9.19,2,33,8.0,80.9,125
Helicoverpa,2020,5.45,6.73,0,22,3.0,123.4,60
Helicoverpa,2021,4.45,4.46,0,14,3.0,100.1,49
Helicoverpa,2022,4.73,4.8,0,14,4.0,101.5,52
Helicoverpa,2023,6.27,7.31,0,23,4.0,116.5,69
Helicoverpa,2024,11.36,13.49,0,40,7.0,118.7,125
Podfly,2020,14.55,19.21,0,52,0.0,132.1,160
Podfly,2021,21.09,24.69,0,62,12.0,117.1,232
Podfly,2022,23.55,29.92,0,82,6.0,127.1,259
Podfly,2023,19.0,24.52,0,74,6.0,129.0,209
Podfly,2024,30.18,36.57,0,111,22.0,121.2,332
