Pest,Variable,rs,p,Sig
Maruca,Tmax,-0.1414,0.303,ns
Maruca,Tmin,-0.2681,0.0478,*
Maruca,RHI,-0.0079,0.9543,ns
Maruca,RHII,0.0988,0.473,ns
Maruca,Rainfall_mm,-0.2135,0.1176,ns
Maruca,SSH,-0.0526,0.7029,ns
Helicoverpa,Tmax,-0.009,0.9478,ns
Helicoverpa,Tmin,-0.1217,0.3759,ns
Helicoverpa,RHI,0.1532,0.2641,ns
Helicoverpa,RHII,0.1779,0.1939,ns
Helicoverpa,Rainfall_mm,-0.1551,0.2581,ns
Helicoverpa,SSH,-0.1339,0.3299,ns
Podfly,Tmax,-0.6806,0.0,***
Podfly,Tmin,-0.6923,0.0,***
Podfly,RHI,-0.0026,0.985,ns
Podfly,RHII,-0.3665,0.0059,**
Podfly,Rainfall_mm,-0.3381,0.0116,*
Podfly,SSH,-0.0844,0.5399,ns
