Date_range,Std_Week_No,Tmax,Tmin,RHI,RHII,Rainfall_mm,SSH,Year
15-21oct,42,32,20.5,93.14,81.14,49.8,3.74,2025
22-28oct,43,32,20.5,94,87.86,26.8,6.86,2025
29-4nov,44,32.5,20,94,82.43,238.6,3.43,2025
5-11nov,45,31,14,91,72.14,31,8.86,2025
12-18nov,46,30.5,12,89,82.29,0,9.37,2025
19-25nov,47,32,12,91.14,72.57,0,8.86,2025
26-2dec,48,30,12.5,92.29,74.29,0,5.57,2025
3-9dec,49,29.5,11.5,88.71,76.43,0,7.57,2025
10-16dec,50,30.5,8.5,93.14,80.43,0,9.17,2025
17-23dec,51,30,9.5,92.29,84.43,0,7.94,2025
24-31dec,52,30.5,10.5,91.75,75.5,0,8.15,2025
